version,data_stage,name,mean_jerk
current_philip,raw,total,50.35086030499732
current_philip,processed,total,19.58620792615509
current_philip,raw,nose,28.92594680422677
current_philip,raw,left_eye_inner,29.35341567021103
current_philip,raw,left_eye,29.212304063952203
current_philip,raw,left_eye_outer,29.212282575205386
current_philip,raw,right_eye_inner,29.428266635629186
current_philip,raw,right_eye,29.446337920408872
current_philip,raw,right_eye_outer,29.603583568721305
current_philip,raw,left_ear,26.13191178678627
current_philip,raw,right_ear,26.65599933454675
current_philip,raw,mouth_left,25.88144458442229
current_philip,raw,mouth_right,26.084552261682234
current_philip,raw,left_shoulder,26.5833678357638
current_philip,raw,right_shoulder,26.814876005641146
current_philip,raw,left_elbow,53.88902809269327
current_philip,raw,right_elbow,58.38744495197978
current_philip,raw,left_wrist,93.63565216787116
current_philip,raw,right_wrist,88.65237076741718
current_philip,raw,left_pinky,106.6870815307415
current_philip,raw,right_pinky,101.95017607472069
current_philip,raw,left_index,107.00571143473887
current_philip,raw,right_index,102.31576920499504
current_philip,raw,left_thumb,101.88848716256926
current_philip,raw,right_thumb,96.22401836238198
current_philip,raw,left_hip,18.107479728184206
current_philip,raw,right_hip,18.084787574453525
current_philip,raw,left_knee,33.09599582455538
current_philip,raw,right_knee,33.7986693902452
current_philip,raw,left_ankle,37.2295047636959
current_philip,raw,right_ankle,48.48465732062817
current_philip,raw,left_heel,43.77604731961603
current_philip,raw,right_heel,54.06739398911345
current_philip,raw,left_foot_index,43.907960958103494
current_philip,raw,right_foot_index,57.05586439901016
current_philip,processed,nose,12.792446955353356
current_philip,processed,left_eye_inner,13.064066231818575
current_philip,processed,left_eye,12.98421570016924
current_philip,processed,left_eye_outer,12.848961212426556
current_philip,processed,right_eye_inner,13.065989515011598
current_philip,processed,right_eye,13.094593058071055
current_philip,processed,right_eye_outer,13.111072945695042
current_philip,processed,left_ear,12.328642297509706
current_philip,processed,right_ear,12.642946492916275
current_philip,processed,mouth_left,12.194250171370408
current_philip,processed,mouth_right,12.244469783505197
current_philip,processed,left_shoulder,12.399288883650666
current_philip,processed,right_shoulder,12.59679628602761
current_philip,processed,left_elbow,18.973381278344338
current_philip,processed,right_elbow,18.959750754717298
current_philip,processed,left_wrist,31.037963157859874
current_philip,processed,right_wrist,29.61956496662958
current_philip,processed,left_pinky,37.137502960755754
current_philip,processed,right_pinky,34.34016472442513
current_philip,processed,left_index,37.76174821875932
current_philip,processed,right_index,35.08831827030185
current_philip,processed,left_thumb,35.65219294276969
current_philip,processed,right_thumb,33.52472352182203
current_philip,processed,left_hip,9.15396787034086
current_philip,processed,right_hip,9.2567327243573
current_philip,processed,left_knee,14.57501956828995
current_philip,processed,right_knee,14.296401780917394
current_philip,processed,left_ankle,18.23679193038464
current_philip,processed,right_ankle,19.243585357299786
current_philip,processed,left_heel,20.81770320233571
current_philip,processed,right_heel,21.322947369942977
current_philip,processed,left_foot_index,20.278610721984364
current_philip,processed,right_foot_index,21.700050707354784
